,sigma,x,y,z,t
11117,10,-9.020715997057412,-4.099515450875975,32.9282402009982,11.17
11118,10,-8.53012541545661,-3.651146960151787,32.396738332631024,11.18
11119,10,-8.047088066068893,-3.2753416914532947,31.82692865782714,11.19
11120,10,-7.57761320074156,-2.968207057466751,31.229550236890752,11.200000000000001
11121,10,-7.126708979325087,-2.7247190852152343,30.61378346061138,11.21
11122,10,-6.69839378865573,-2.5392002645660154,29.98728352073435,11.22
11123,10,-6.295748068854265,-2.405715387830821,29.356294070449074,11.23
11124,10,-5.92099470116838,-2.318381177692186,28.72580824221963,11.24
11125,10,-5.575597203194747,-2.2715943146115904,28.099750649891835,11.25
11126,10,-5.260366702749518,-2.2601875911134433,27.48116107311831,11.26
11127,10,-4.975570620104926,-2.2795263617685784,26.872367191455016,11.27
11128,10,-4.721037792781844,-2.3255577170463906,26.275138979361547,11.28
11129,10,-4.49625646371121,-2.394824039792116,25.690821633011304,11.290000000000001
11130,10,-4.3004629317285845,-2.484451024884871,25.120446735096625,11.3
11131,10,-4.1327197325678195,-2.5921184664129147,24.56482314817698,11.31
11132,10,-3.991983036952599,-2.7160203760294017,24.02461014122167,11.32
11133,10,-3.8771595293724377,-2.854819398978915,23.50037566623095,11.33
11134,10,-3.787153413494845,-3.007599116650924,22.99264272689004,11.34
11135,10,-3.720904405786075,-3.173816736865206,22.50192657012897,11.35
11136,10,-3.6774176978455224,-3.3532577486522395,22.028765114957622,11.36
11137,10,-3.6557868844947685,-3.5459934248083425,21.57374466103947,11.370000000000001
11138,10,-3.6552108229647318,-3.7523415609350477,21.137522596009813,11.38
11139,10,-3.675005303268737,-3.972830292645608,20.72084840827637,11.39
11140,10,-3.714610299554251,-4.208164675280208,20.324584124382437,11.4
11141,10,-3.7735934570518213,-4.459195337931725,19.949724979494484,11.41
11142,10,-3.851650334729553,-4.726888341726433,19.59742092523701,11.42
11143,10,-3.9486017686215478,-5.012295191128797,19.26899938750019,11.43
11144,10,-4.064388592715606,-5.3165217673509915,18.96598949390166,11.44
11145,10,-4.1990637942861095,-5.640694783726595,18.690147784554068,11.450000000000001
11146,10,-4.352782027429265,-5.98592418602001,18.44348517498065,11.46
11147,10,-4.525786400940011,-6.353259913350453,18.22829488082313,11.47
11148,10,-4.718391779339724,-6.743640678845414,18.047179854803268,11.48
11149,10,-4.930964651184173,-7.157833402236238,17.90307923831131,11.49
11150,10,-5.163898370325735,-7.596360546337002,17.799291267017754,11.5
11151,10,-5.41758336687526,-8.05941379445125,17.739490267742685,11.51
11152,10,-5.692371060307999,-8.546751654544709,17.7277341285618,11.52
11153,10,-5.9885307304523225,-9.057579773166253,17.76845759002794,11.53
11154,10,-6.3061982134557635,-9.590413304981146,17.86644520067102,11.540000000000001
11155,10,-6.645315429432054,-10.142921116037082,18.026777311603613,11.55
11156,10,-7.0055603100358335,-10.711756130248583,18.2547392508766,11.56
11157,10,-7.3862664064121875,-11.292373860280202,18.555685808172598,11.57
11158,10,-7.786332983451625,-11.878851706158217,18.93484848348369,11.58
11159,10,-8.204126844574866,-12.463719901434903,19.397077361046367,11.59
11160,10,-8.63737880425589,-13.037824723801998,19.94650853997448,11.6
11161,10,-9.083079499930124,-13.590249286671659,20.5861537360674,11.61
11162,10,-9.537381888703724,-14.108324099689295,21.317416319349658,11.620000000000001
11163,10,-9.995519327803413,-14.57776148095942,22.13954669112633,11.63
11164,10,-10.45175221488711,-14.982954180152102,23.049068218402866,11.64
11165,10,-10.899357177636912,-15.307468330524939,24.039218803913325,11.65
11166,10,-11.330674590527273,-15.534752790374778,25.099474445621816,11.66
11167,10,-11.737229581843156,-15.649062404340423,26.215235654570773,11.67
11168,10,-12.10993842985967,-15.636560099920267,27.367766957027737,11.68
11169,10,-12.439406099672667,-15.486526071883143,28.5344728419532,11.69
11170,10,-12.716311150377182,-15.192555856019217,29.68957269112343,11.700000000000001
11171,10,-12.931861617786558,-14.753601114215595,30.805189577262144,11.71
11172,10,-13.078292305050404,-14.17468867304245,31.85280829219169,11.72
11173,10,-13.149361525568224,-13.467171635197495,32.80498628414133,11.73
11174,10,-13.140797590683631,-12.648414002122632,33.637139624573905,11.74
11175,10,-13.050644252016994,-11.74088936972546,34.32918788628909,11.75
11176,10,-12.87946175063101,-10.770767251113034,34.866843605200614,11.76
11177,10,-12.630355631433702,-9.766147820041587,35.24237659726035,11.77
11178,10,-12.308826569243237,-8.755164895428607,35.45476469532027,11.78
11179,10,-11.922457194682254,-7.764191972220412,35.50924120335536,11.790000000000001
11180,10,-11.480471418605312,-6.816356139831652,35.41634041538209,11.8
11181,10,-10.993215151484495,-5.930498328690823,35.19060877513428,11.81
11182,10,-10.471611631862283,-5.120635415076766,34.84917425053833,11.82
11183,10,-9.926640996961138,-4.395900167463769,34.41035493197165,11.83
11184,10,-9.368883506587874,-3.7608746231935606,33.892446449741364,11.84
11185,10,-8.808152385601023,-3.216200503194604,33.31277337114816,11.85
11186,10,-8.253228062349171,-2.7593433087287873,32.68703465907815,11.86
11187,10,-7.711693304055896,-2.385401581931429,32.02892911089921,11.870000000000001
11188,10,-7.189859849633001,-2.0878776550700007,31.350018446589672,11.88
11189,10,-6.69277115168974,-1.859356025683117,30.65977060471968,11.89
11190,10,-6.224263696913104,-1.6920613875709873,29.9657250473824,11.9
11191,10,-5.787069493371838,-1.5782897244862122,29.27372849141749,11.91
11192,10,-5.382943914507768,-1.5107196340516487,28.588199496240833,11.92
11193,10,-5.012805821858813,-1.4826195829956204,27.91239238698831,11.93
11194,10,-4.676879809601252,-1.4879701260625535,27.248641497163145,11.94
11195,10,-4.374833219985717,-1.5215203559781867,26.598575427424315,11.950000000000001
11196,10,-4.105903022477087,-1.578796102168012,25.963297349592427,11.96
11197,10,-3.869009681662787,-1.6560747454782465,25.343531785403076,11.97
